SpecID,PassNonPass,IOCOrder,BLFamilyLatin,BLFamilyEnglish,BLFamSequID,Taxo,Scientific,English,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,Diet-Source,Diet-Certainty,Diet-EnteredBy,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,ForStrat-Source,ForStrat-SpecLevel,ForStrat-EnteredBy,Nocturnal,BodyMass-Value,BodyMass-Source,BodyMass-SpecLevel,BodyMass-Comment,Record-Comment
74,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_cinereus,Cinereous Tinamou,0,0,0,0,0,0,100,0,0,0,FruiNect,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,506.63,Dunning08,1,NA,NA
75,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_soui,Little Tinamou,20,0,0,0,0,0,40,0,20,20,Omnivore,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,216.16,Dunning08,1,NA,NA
76,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_ptaritepui,Tepui Tinamou,30,0,0,0,0,0,20,0,40,10,Omnivore,Ref_1,D1,Jennifer,0,0,80,20,0,0,0,0,Genus,0,Walter,0,411.51,GenAvg,0,NA,NA
77,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_obsoletus,Brown Tinamou,50,0,0,0,0,0,0,0,50,0,Omnivore,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,443.4,Dunning08,1,NA,NA
78,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_cinnamomeus,Thicket Tinamou,30,0,10,0,0,0,30,0,30,0,Omnivore,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,422,Dunning08,1,NA,NA
80,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_undulatus,Undulated Tinamou,0,0,0,0,0,0,100,0,0,0,FruiNect,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,564.42,Dunning08,1,NA,NA
81,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_transfasciatus,Pale-browed Tinamou,30,0,0,0,0,0,20,0,40,10,Omnivore,Ref_1,D1,Jennifer,0,0,80,20,0,0,0,0,Genus,0,Walter,0,283,Dunning08,1,NA,NA
82,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_strigulosus,Brazilian Tinamou,30,0,0,0,0,0,20,0,40,10,Omnivore,Ref_1,D1,Jennifer,0,0,80,20,0,0,0,0,Genus,0,Walter,0,430.58,Dunning08,1,NA,NA
83,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_boucardi,Slaty-breasted Tinamou,20,0,0,0,0,0,40,0,40,0,Omnivore,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,435.62,Dunning08,1,NA,NA
84,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Crypturellus_kerriae,Choco Tinamou,30,0,0,0,0,0,20,0,40,10,Omnivore,Ref_1,D1,Jennifer,0,0,80,20,0,0,0,0,Genus,0,Walter,0,411.51,GenAvg,0,NA,NA
