ID,longitude,latitude,timestamp
17064_61152,-122.2945404,38.20904922,12/3/2017 15:42
17064_61152,-122.2943649,38.20906448,12/3/2017 16:18
17064_61152,-122.2945633,38.20890045,12/3/2017 16:54
17064_61152,-122.2935333,38.20887375,12/3/2017 17:30
17064_61152,-122.2934494,38.20812225,12/3/2017 18:05
17064_61152,-122.2930298,38.21073151,12/3/2017 18:41
17064_61152,-122.2929611,38.21081161,12/3/2017 19:18
17064_61152,-122.2917023,38.21130753,12/3/2017 19:54
17064_61152,-122.2905197,38.21016312,12/3/2017 20:30
17064_61152,-122.2915802,38.20936584,12/3/2017 21:05
17064_61152,-122.2921448,38.20817947,12/3/2017 21:41
17064_61152,-122.2959061,38.1937027,12/3/2017 22:18
17064_61152,-122.2938995,38.19239807,12/3/2017 22:53
17064_61152,-122.2958984,38.19465256,12/3/2017 23:30
17064_61152,-122.295723,38.19459152,12/4/2017 0:06
17064_61152,-122.2959671,38.1948967,12/4/2017 0:42
17064_61152,-122.2970657,38.19439316,12/4/2017 1:17
17064_61152,-122.2967987,38.19454193,12/4/2017 1:53
17064_61152,-122.2966919,38.19483566,12/4/2017 2:29
17064_61152,-122.2967682,38.19458008,12/4/2017 3:05
17064_61152,-122.2965698,38.19498444,12/4/2017 3:41
17064_61152,-122.2965088,38.19493103,12/4/2017 4:17
17064_61152,-122.2967072,38.19511414,12/4/2017 4:53
17064_61152,-122.2964325,38.19509506,12/4/2017 5:29
17064_61152,-122.2968063,38.19466019,12/4/2017 6:05
17064_61152,-122.2965775,38.19493103,12/4/2017 6:41
17064_61152,-122.2965698,38.19503784,12/4/2017 7:17
17064_61152,-122.2961349,38.19497681,12/4/2017 7:53
17064_61152,-122.2961884,38.19494629,12/4/2017 8:29
17064_61152,-122.2964401,38.1949234,12/4/2017 9:05
17064_61152,-122.2962494,38.19467926,12/4/2017 9:41
17064_61152,-122.2965469,38.1949501,12/4/2017 10:17
17064_61152,-122.2964554,38.19490051,12/4/2017 10:53
17064_61152,-122.2965088,38.1948967,12/4/2017 11:29
17064_61152,-122.2964935,38.19485092,12/4/2017 12:06
17064_61152,-122.2964706,38.19483185,12/4/2017 12:42
17064_61152,-122.2959747,38.19470978,12/4/2017 13:17
17064_61152,-122.2957687,38.19487,12/4/2017 13:53
17064_61152,-122.2957535,38.19487762,12/4/2017 14:29
17064_61152,-122.2979813,38.19408798,12/4/2017 15:05
17064_61152,-122.2977524,38.19395828,12/4/2017 15:41
17064_61152,-122.297699,38.19393158,12/4/2017 16:17
17064_61152,-122.2979126,38.19403839,12/4/2017 16:53
17064_61152,-122.2979813,38.19401169,12/4/2017 17:30
17064_61152,-122.2978668,38.19393158,12/4/2017 18:06
17064_61152,-122.2975235,38.19394302,12/4/2017 18:42
17064_61152,-122.2986832,38.19364548,12/4/2017 19:17
17064_61152,-122.2962112,38.19386673,12/4/2017 19:53
17064_61152,-122.2960739,38.19448853,12/4/2017 20:29
17064_61152,-122.2960968,38.19426346,12/4/2017 21:05
17064_61152,-122.2966309,38.19343948,12/4/2017 21:42
17064_61152,-122.2961655,38.19433975,12/4/2017 22:17
17064_61152,-122.2962799,38.19441986,12/4/2017 22:53
17064_61152,-122.295517,38.19453049,12/4/2017 23:29
17064_61152,-122.2985992,38.19067001,12/5/2017 0:05
17064_61152,-122.3016663,38.19208908,12/5/2017 0:41
17064_61152,-122.2987137,38.19587326,12/5/2017 1:17
17064_61152,-122.2979965,38.19397354,12/5/2017 1:53
17064_61152,-122.2979736,38.19426346,12/5/2017 2:29
17064_61152,-122.2980652,38.19398499,12/5/2017 3:05
17064_61152,-122.2980118,38.19394302,12/5/2017 3:42
17064_61152,-122.2980423,38.19400406,12/5/2017 4:18
17064_61152,-122.2980347,38.19404984,12/5/2017 4:54
17064_61152,-122.2980347,38.19402695,12/5/2017 5:30
17064_61152,-122.2980194,38.19406509,12/5/2017 6:06
17064_61152,-122.2982559,38.19414902,12/5/2017 6:41
17064_61152,-122.2988434,38.19393158,12/5/2017 7:17
17064_61152,-122.2985001,38.19384766,12/5/2017 7:53
17064_61152,-122.2984695,38.19428253,12/5/2017 8:29
17064_61152,-122.2984238,38.19429016,12/5/2017 9:05
17064_61152,-122.2976761,38.19396973,12/5/2017 9:41
17064_61152,-122.2978134,38.19390488,12/5/2017 10:17
17064_61152,-122.2982712,38.19345856,12/5/2017 10:53
17064_61152,-122.2988358,38.19398117,12/5/2017 11:29
17064_61152,-122.2974396,38.19430161,12/5/2017 12:05
17064_61152,-122.2986832,38.19387054,12/5/2017 12:41
17064_61152,-122.2965775,38.19439697,12/5/2017 13:17
17064_61152,-122.296608,38.19435501,12/5/2017 13:53
17064_61152,-122.2969742,38.1942482,12/5/2017 14:29
17064_61152,-122.2979431,38.19449234,12/5/2017 15:05
17064_61152,-122.2978516,38.19426727,12/5/2017 15:41
17064_61152,-122.2978592,38.19430923,12/5/2017 16:17
17064_61152,-122.2980118,38.19423676,12/5/2017 16:53
17064_61152,-122.2981262,38.19394684,12/5/2017 17:30
17064_61152,-122.2988129,38.19837189,12/5/2017 18:05
17064_61152,-122.2981339,38.19389725,12/5/2017 18:41
17064_61152,-122.2948532,38.19274521,12/5/2017 19:17
17064_61152,-122.2978363,38.19374084,12/5/2017 19:53
17064_61152,-122.2962646,38.19478989,12/5/2017 20:30
17064_61152,-122.2975235,38.19426346,12/5/2017 21:06
17064_61152,-122.296463,38.1944046,12/5/2017 21:42
17064_61152,-122.2964478,38.19454193,12/5/2017 22:17
17064_61152,-122.2963486,38.1945076,12/5/2017 22:53
17064_61152,-122.2962952,38.1943512,12/5/2017 23:29
17064_61152,-122.2962418,38.19449997,12/6/2017 0:05
17064_61152,-122.2963943,38.19437408,12/6/2017 0:41
17064_61152,-122.2965927,38.19430542,12/6/2017 1:17
17064_61152,-122.2963715,38.19451523,12/6/2017 1:53
17064_61152,-122.2969589,38.19458771,12/6/2017 2:30
17064_61152,-122.295639,38.193367,12/6/2017 3:05
17064_61152,-122.296814,38.19158554,12/6/2017 3:41
17064_61152,-122.2974701,38.19171143,12/6/2017 4:17
17064_61152,-122.2971268,38.19164658,12/6/2017 4:53
17064_61152,-122.2968903,38.19166183,12/6/2017 5:30
17064_61152,-122.297081,38.1916275,12/6/2017 6:06
17064_61152,-122.2970276,38.19161987,12/6/2017 6:42
17064_61152,-122.2973785,38.19138336,12/6/2017 7:17
17064_61152,-122.2966156,38.19250488,12/6/2017 7:53
17064_61152,-122.2965393,38.19255447,12/6/2017 8:29
17064_61152,-122.2966919,38.19281769,12/6/2017 9:05
17064_61152,-122.2956467,38.1930542,12/6/2017 9:41
